category,subcategory,name,price,colour1,colour2,photo
women,T-shirts,T-shirt boutonné à manches courtes et imprimé floral,23.99,White,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg
women,Pantalons & Shorts,Pantalon décontracté à taille élastique de couleur unie,25.99,Khaki,Black,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/A9/f908379b-4128-4270-8933-e724653b2a28.jpg
women,Robes imprimées,Robe midi décontractée à imprimé floral,23.99,Khaki,White,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg
women,T-shirts,T-shirt brodé de fleurs,15.99,Green,Sky Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg
women,Robes imprimées,Robe longue à imprimé floral vintage,33.99,Red,Yellow,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,32.99,Red,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral,29.99,Black,Apricot,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg
women,Pantalons & Shorts,Pantalon décontracté à fleurs,21.99,Blue,Yellow,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg
women,T-shirts,T-shirt simple à fleurs,19.42,Black,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CF/AA/e09c4602-1d28-47ad-a429-73cadef2e1a8.jpg
women,Robes imprimées,Robe longue à patchwork imprimé,28.99,vert,Jaune,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0F/5E/e1ef7c6b-9231-4e15-8a38-6f6d7fe83be8.jpg
women,Pantalons & Shorts,Sarouel croisé décontracté,16.99,Black,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7E/3A/0e435d9a-fd6a-4ddf-a140-30c14e47eb45.jpg
women,T-shirts,T-shirt imprimé poisson,17.99,Green,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/11/EE/77350a61-52b8-4c8b-b59f-872a7b2d79fb.jpg
women,Blouses & Chemises,Chemisier ample de couleur unie,31.99,White,Black,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7F/C8/61115a11-fd55-4a9d-9937-e6625eb09969.jpg
women,Robes imprimées,Robe midi bohème imprimée à pois,24.99,Grey,Yellow,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A1/AC/f5588ba4-5f39-4d0a-bd1e-6216170be55b.jpg
women,Pantalons & Shorts,Pantalon imprimé papillons en bambou,27.6,Grey,Black,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B2/06/d0b6bba4-d182-4984-b609-76c032e8e99d.jpg
women,Robes imprimées,Robe mi-longue imprimée à fleurs,21.99,Yellow,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/25/3C/df70512c-24ce-405e-bd0d-9444e008726d.jpg
women,Robes imprimées,Robe maxi sans manches imprimé patchwork,24.99,Orange,Khaki,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/8D/80/7cc3c980-b550-40c6-b5b6-e686ecf665ce.jpg
women,Robes décontractées,Robe longue de couleur contrastée,26.57,gris,Bleu,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/32/95/4a6b7e59-0ffb-449e-a4d5-58ed057b5fdb.jpg
women,Combinaisons & Grenouillères,Combinaison à bretelles à imprimé floral Daisy,29.99,Green,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F1/AC/107844b6-4daa-40e3-80f7-b3d8337808d1.jpg
women,Blouses & Chemises,Chemisier à manches courtes brodé bohème,24.99,blanc,Rose,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/23/707e0d3c-871b-4f48-9c0c-3243abce6b4c.jpg
women,Robes imprimées,Robe imprimée à poches col rond,30.66,Yellow,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3B/0E/e202cdb1-9cb4-4e1c-8bf1-05b11cc03b4a.jpg
women,Blouses & Chemises,Chemisier col rabattu de couleur unie,25.99,White,Black,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AF/3B/a70a79a5-c397-4012-adb0-36e3a5cf9572.jpg
women,T-shirts,T-shirt décontracté à fleurs,21.99,Green,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/08/90/bb1eeb6d-6937-4774-b213-0141cbba874a.jpg
women,T-shirts,T-shirt boutonné uni,19.99,Green,Orange,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/8E/03/6397767e-da0a-424b-82a8-060c37388f82.jpg
women,Combinaisons & Grenouillères,Combinaison imprimé papillons,30.66,Green,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/4A/7B/a19fb059-0321-4223-a62f-d9e0946d4719.jpg
women,Blouses & Chemises,Chemisier Selvedge Stringy,25.99,#01,#02,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E7/CD/be2f2d8a-9f55-45ab-b52d-d3451d9cf91c.jpg
women,Robes imprimées,Robe midi chemise boutonnée vintage,27.27,Rose,Noir,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F3/11/273892ae-82cd-40da-9864-1ad51d7d4c56.jpg
women,Pantalons & Shorts,Pantalon décontracté à imprimé graffiti,18.99,Green,Red,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5E/AE/0675246d-d640-4628-888c-0779b3dcadc5.jpg
women,T-shirts,T-shirt boutonné à fleurs,20.44,Sky Blue,White,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/8A/1B/3982c58d-ff78-43f3-9388-5d9adb2f1ec1.jpg
women,Robes imprimées,Robe décontractée imprimée,15.99,Red,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C3/8B/ebfce95c-2bef-4ab2-960d-3de7662a6b1f.jpg
women,Combinaison & Salopette,Combinaison ample bohème à bretelles,25.99,kaki,Noir,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/30/34/3fb522cd-ae7c-4239-8fc9-3155d986023a.jpg
women,Pantalons & Shorts,Pantalon décontracté uni femme,21.99,White,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B1/8A/4ce149db-0da4-4c62-ae9e-4e88e66bfb7f.jpg
women,Robes imprimées,Robe de couleur contrastée florale,28.99,Yellow,Red,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3D/FE/267550ad-68fb-4b48-b195-0e1e3051aee8.jpg
women,Chemises,T-shirt imprimé chat de dessin animé,21.99,Blue,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/29/C3/2f454338-aa52-4cb9-85da-b969c3fa3d1a.jpg
women,Soutiens-gorge,7XL Plus Taille Wireless Sport Yoga Bras,16.99,Nu,gris,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BC/42/e400e507-41ea-479f-aa50-82178cd8b9b9.jpg
women,T-shirts,T-shirt à fleurs Daisy,23.99,Grey,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/93/DE/c7493584-c944-469b-8142-fa6a84203724.jpg
women,T-shirts,T-shirt décontracté ample imprimé,19.99,Black,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F7/9D/0e524ba4-65eb-4f76-aab3-c17b9a9d716a.jpg
women,Blouses & Chemises,Chemisier boutonné imprimé vintage,25.99,Blue,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6A/F0/a0e68e14-bac3-43fe-91f6-b63a3bdbc758.jpg
women,T-shirts,T-shirt patchwork imprimé floral,23.99,Navy,Wine Red,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/04/CD/90be342b-208e-4b68-b669-df6ed32deb24.jpg
women,T-shirts,T-shirt bouton grenouille imprimé chat,20.44,Green,Wine Red,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/9E/65/a6810dab-2c10-4517-9476-3ecfe42bc502.jpg
women,Robes imprimées,Robe sans manches à fleurs,32.99,Green,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/72/23/1b0c7115-c73a-4f20-bade-90e22b9e6a61.jpg
women,T-shirts,T-shirt à col rond imprimé fleuri,22.99,White,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/43/E7/7acb9730-4846-4554-872b-0ecde479d251.jpg
women,Blouses & Chemises,Chemisier imprimé papillons fleurs,26.99,Yellow,Dark Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/29/5A/b5d9f68a-3637-422b-bbc0-03c5b78fe607.jpg
women,Combinaisons & Grenouillères,Combinaisons brodées de fleurs,30.66,Light Green,Light Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/57/CF/f797a410-4ad5-4825-8598-9d294446c0c4.jpg
women,Pantalons & Shorts,Pantalon taille élastique imprimé fleuri,31.99,Apricot,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/47/3A/eea2a351-82e2-42c0-b191-03e30234fcae.jpg
women,Chemises,T-shirt imprimé floral marguerite ,21.99,Wine Red,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/28/ED/1f37a4fc-dc9e-4378-836d-d4de1feef7b9.jpg
women,Combinaisons & Grenouillères,Combinaison imprimée poisson dessin animé,30.66,White,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AB/36/6937e12a-4518-4978-bd73-584108636e13.jpg
women,Chemises,T-shirt à manches courtes imprimé papillon,21.99,vert,Violet,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EF/E1/67941309-2c27-492e-a899-6ce97b376383.jpg
women,Boho Dresses,Robe longue ethnique à imprimé floral,32.99,Navy,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EC/36/fb84fa00-1f19-4549-9b16-2e3abb540a82.jpg
women,Bra,Soutien-gorge de sommeil avec bretelles en dentelle à glissière sur le devant,25.99,Coffee,Black,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/66/23/d96d192f-fbd2-48b6-b568-00464fe3f3dd.jpg
women,Pantalons & Shorts,Pantalon taille élastique à imprimé floral,23.21,gris,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2F/3B/04c92c19-b031-4a52-b2a2-dd32ecb5b5a1.jpg
women,Robes imprimées,Robe à encolure en V et imprimé géométrique,24.99,blanc,Bleu,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7F/16/c0f0f7fe-d03b-4a5e-bff6-c62eec0864fe.jpg
women,Robes décontractées,Robe plissée à col en V et nœud papillon,29.99,Black,Red,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/04/FB/682ba382-1a75-408e-b485-4b326b927d47.jpg
women,Robes imprimées,Robe patchwork à imprimé floral vintage,25.99,Red,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/65/5A/e4f95539-2720-4f4f-86b7-cb1afcd2c19e.jpg
women,Robes sexy,Mini robe femme,39.87,Marine,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/9E/8F/b04aa9e9-09fc-46ba-bbb9-f83130419014.jpg
women,T-shirts,T-shirt ras du cou imprimé lettre,19.42,Black,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/50/29/905624de-f48f-4481-bc89-62af25a187ef.jpg
women,Robes imprimées,Robe sans manches imprimée à rayures,27.99,Noir,Marine,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E9/A0/5fb0e26f-ef4b-4f14-9fa0-a7d5a768e5a1.jpg
women,Combinaison & Salopette,Combinaison ceinturée à bretelles spaghetti,29.99,Black,Red,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/07/E1/baf1c0e7-9fcf-4fa8-b321-6be3be580eb1.jpg
women,Bikinis &Tankinis,String sexy bikinis,11.1,Noir,blanc,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/7E/A2/f2ed421b-dfda-4591-8c14-8204c63bd171.jpg
women,Pajamas Bottoms,Plus Pyjama 100% coton imprimé,9.99,Yellow,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D1/33/acadf5e5-c80d-4dce-a7e3-55bc54eaeb64.jpg
women,Robes décontractées,Robe patchwork à pois,26.99,rouge,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1B/90/84f2b344-7a84-4b4a-8be5-2a19ff9f5553.jpg
women,Brassières de sport,Soutien-gorge Yoga respirant à couverture complète sans fil,12.99,White,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/26/F6/a390adec-3c02-4773-b7bd-aad0e89a6a56.jpg
women,T-shirts,T-shirt à imprimé arc-en-ciel,23.51,Red,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/E2/7ff8b311-72f2-40a8-86ac-0e9156667054.jpg
women,Chemises,Chemise patchwork imprimé léopard,23.99,blanc,Noir,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/29/7F/038a882d-593f-42f1-a068-05e085c9ef39.jpg
women,Robes imprimées,Robe ras du cou imprimée,28.99,Pink,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BB/F4/d0128e80-ca29-44a5-919a-e9b95b1f92f5.jpg
women,Robes maxi,Imprimer manches longues Islam musulman robe longue,42.99,Abricot,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DC/67/a7014f21-5979-4305-92c2-2986f086026a.jpg
women,Robes décontractées,Robe patchwork décontractée ,27.99,Pink,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F3/80/2387d793-3f76-4fbe-afbb-00b1efb04837.jpg
women,Robes décontractées,Robe décontractée de couleur unie ,26.99,Black,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D6/04/3ba32be7-063a-4854-b075-0fb8ff51df90.jpg
women,Chemises,Blouse ample à col en V de couleur unie,18.99,Black,Navy,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/44/29/718ea37d-34ab-4f14-8821-6653f525040e.jpg
women,Robes imprimées,Robe longue sans manches à imprimé d'été ,23.99,Yellow,Red,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/74/33/d2ba253a-27f8-4230-bcbd-c73393dbb077.jpg
women,Robes décontractées,Robe imprimée lettre arbres,27.99,Grey,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E5/22/134cd734-a0cc-4f85-a4e5-d46c8ee65e0d.jpg
women,T-shirts,T-shirt imprimé en tricot,48.99,Print,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AC/E7/74392db1-46ee-42ff-975d-33935ca7d5a9.jpg
women,Robes décontractées,Robe sans manches à rayures arc-en-ciel,27.99,Multi Color,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/75/A6/ada44cb3-c642-4596-971d-1fb7ecf3c776.jpg
women,Robes imprimées,Robe ceinture imprimée vintage,41.99,Blue,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/E7/4D/439476c8-1175-4a05-a05c-1fe9bfe1f90e.jpg
women,Chemises,Chemise asymétrique en velours côtelé,28.99,Navy,Brown,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/78/9E/68727c27-1076-4601-87ec-f478484e2da0.jpg
women,Blouses & Chemises,Chemisier à manches longues imprimé feuilles,25.99,Green,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/31/87/345b6a4e-9d21-45d0-8700-70f6d08dbe4b.jpg
women,Robes imprimées,Robe midi imprimée à col rond Flora,21.99,Pink,Orange,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AB/F6/b36bc302-2bdd-47a4-93ce-2aa96996d6be.jpg
women,Robes imprimées,Robe rayée à pois,28.99,Purple,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C7/DF/9f742626-c26d-4ee5-b717-87775d4b8201.png
women,Chemises,Chemisier Fleurs Papillons Chat,25.99,Purple,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A5/F9/61c0b67f-00de-46a4-ba09-c817a4c14ee9.jpg
women,T-shirts,T-shirt fendu à col en V à rayures,30.99,Black,White,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/36/AC/6ee7f64e-be93-465d-91b4-d9047900331d.jpg
women,Blouses & Chemises,Blouson à manches longues en vrac sans manches,10.99,gris,,https://imgaz1.chiccdn.com/thumb/view/upload/2015/09/SKU209428(1).jpg
women,T-shirts,T-shirt rayé à manches trompette,24.99,Gray,Yellow,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B5/64/058fef1e-36f0-4a89-a477-8167e80c85e8.jpg
women,Robes imprimées,Robe midi irrégulière à bretelles spaghetti,42.99,White,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/57/9E/4baa51c4-2478-4eeb-a7f3-7ab605cac7ef.jpg
women,Bikinis &Tankinis,Bikini String Tie Dye,9.99,Pink,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BE/FF/f235d296-b2fc-4ca9-a703-dee0842c1f55.jpg
women,Robes imprimées,Robe à imprimé floral géométrique,23.99,Green,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/74/1E/ec8a7444-1d13-4df4-ac9f-2adc9043ced6.jpeg
women,Robes décontractées,Robe à poches boutonnées de couleur unie,29.99,Orange,Vin rouge,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/35/2A/24c0357d-fa66-4a37-97c2-f3e5668ab637.jpg
women,Robes décontractées,Robe maxi à manches 3/4 et à boutons,25.21,Noir,blanc,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DD/D0/2cba402b-082b-4b29-a39b-490b07f9cfae.jpg
women,Chemises,Chemise jacquard de couleur unie,21.99,Black,White,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CF/30/041ed25f-2bf6-4158-80ba-4870958a92f9.jpg
women,T-shirts,T-shirt décontracté imprimé épaules dénudées,24.99,Pink,White,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B1/BE/73e5fe65-ecf9-41f3-b346-f0b23004aa10.jpg
women,T-shirts,T-shirt décontracté à imprimé dessin animé,25.55,Black,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/79/18/9725ac9e-9ea8-4d1c-a6ac-4caaec42cd39.jpg
women,Robes décontractées,Robe décontractée à bretelles fendues,20,Black,White,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6E/78/5a512702-58b1-4422-a9df-c29a33188241.jpg
women,Pajama Sets,Pyjama à manches courtes en pied-de-poule,23.69,Grey,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/25/2B/c6729e51-1dcf-4d79-94ef-619299e08151.JPG
women,Blouses & Chemises,Blouse décontractée à imprimé fleur de chat,24.99,Blue,Green,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/81/5E/45b37762-400c-4f71-8708-2bfd9824d6a9.jpg
women,Chemises,Chemisier de moto de dessin animé de chat,25.99,Green,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/09/55/7e2532f8-e162-4f26-bed8-510912ca07bd.jpg
women,Bikinis &Tankinis,Bikini taille haute Hit Color,9.99,Pink,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/85/4e370694-6c65-48d7-a4cd-8f94aab4608a.jpg
women,Une-Pièces,Patchwork léopard One Pièce,15.99,Blue,Khaki,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2F/46/fe3f2e3b-06bd-4dd3-ab82-4fc382ab4207.jpg
women,T-shirts,T-shirt à manches courtes imprimé dessin animé,15.99,Yellow,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BC/DF/2f643d1e-2b5f-4213-8567-127526cf59c0.jpg
women,Robes décontractées,Robe longue rayée imprimée,41.99,Bleu,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DB/77/dbd57fc7-3307-4742-9d18-d9627d5310d9.jpg
women,Blouses & Chemises,Blouse Couleur Pure Irrégulière pour Femme,48.05,blanc,,https://imgaz1.chiccdn.com/thumb/view/oaupload/yoins/images/32/E3/f2f47506-cd72-4705-bf68-3df2cd9fc506.jpeg
women,Robes imprimées,Imprimer Sexy Off Shoulder Tassels Long Sleeve Women Dresses,17.99,vert,Bleu marin,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EA/0F/ed5592ef-1aea-4ce1-a7d0-e8d112f6ab6b.jpg
women,Denim & Jeans,Jean déchiré sexy à pompons serrés,29.99,Blue,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/1E/A8/cab757ec-327d-4b9b-bdfa-110076468e23.jpg
women,T-shirts,T-shirt décontracté à manches longues en dentelle,26.99,Purple,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/9B/DC/7b632770-2390-428b-8563-8db39572d7b9.jpg
women,Tankinis,Bikini croisé Tie Dye,12.99,Purple,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F7/4B/8e221a81-26a0-430c-b4d7-8adacbb4bdf6.jpeg
women,Blouses & Chemises,Chemisier à manches courtes écossais,27.99,Violet,café,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/52/C5/f9e236ac-a45d-4cc4-a6ab-703872838885.jpg
women,Robes décontractées,Robe asymétrique sans manches fendue,21.99,Noir,Vin rouge,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CA/4F/f48df775-1693-42d2-ad66-562350020479.jpg
women,Culotte haute,Culotte sans couture en soie glacée,6.59,gris,Noir,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/95/BA/17bf34af-0d56-4441-bb14-fefbc290e8e8.jpg
women,Une-Pièces,Croix géométrique imprimé One pièce ,15.39,Blue,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/A9/ad2d226b-9a3d-473f-8e27-7c6ae355c528.jpg
women,Shapewears,Ceinture respirante ajustable effet ventre contrôlé,16.49,Nu,Noir,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/19/EE/a7112192-7d3c-45e8-84c0-031410dc5fd4.jpg
women,Grande Taille,Polka Dot Halter rayé Patchwork robes de bain,19.99,Bleu,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B4/46/59f05598-d371-4ff9-b980-1639592f0f50.jpg
women,Débardeurs,Débardeur en dentelle avec gilet amincissant,18.99,Noir,Violet,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/77/9E/453ceed7-2112-4e96-a011-5813885fcc14.jpg
women,Kimonos,Kimono en jacquard de couleur unie,39.87,vert,Noir,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/9D/E7/b9e64481-0540-45f3-8e8b-d7ef0a5fa4fb.jpg
women,T-shirts,Puzzle T-shirt imprimé tournesol,21.46,Black,Grey,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CA/53/f74f866b-c26f-470f-8d69-32f82c0227db.jpg
women,Combinaisons & Grenouillères,Combinaison large à pois,32.71,Black,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/9A/A2/189da994-b7f7-4ec8-81af-9ce1d53eb819.jpg
women,Chemises,Chemise de broderie de fleurs vintage,21,White,Blue,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/16/B1/3ecf235b-be91-4e4e-9f01-88afbaa128c2.jpg
women,Tankinis,Tankini torsadé couleur hit blanc,15.99,Black,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/8A/D8/dd0dfffa-22d8-441f-bde1-3850c316d588.jpg
